Title,Year,Director,Producer,Studio,Genre,Runtime,Formats,UPC,ASIN,Notes,Date Added,Image URL
test,,,,,,,BluRay,,,,2025-07-27T19:17:57.654Z,
UHF (25th ),1989,,,Shout! Factory,Comedy,,BluRay,826663153750,,,2025-07-27T21:40:52.380Z,
