Title,Year,Director,Producer,Studio,Genre,Runtime,Formats,UPC,ASIN,Notes,Date Added,Image URL
UHF (25th ),1989,,,Shout! Factory,Comedy,,BluRay,826663153750,,,7/20/2025,
UHF (25th ) (1989),1989,,,Shout! Factory,,,BluRay,826663153750,,,7/20/2025,
UHF (25th ),1989,,,Shout! Factory,,,BluRay,826663153750,,,7/20/2025,
